Time,h1,h2,h3,h4,v1,v2
6.200775096887111459e+01,1.677692483814005294e-03,7.040576148512996818e-03,1.839959225357506046e-03,8.484403526154173786e-03,1.500000000000000000e+00,5.000000000000000000e-01
6.300787598449806381e+01,1.677692483786032661e-03,7.040576167566437935e-03,1.839959225334213046e-03,8.484403536306642929e-03,1.500000000000000000e+00,5.000000000000000000e-01
6.400800100012502014e+01,1.677692483765882980e-03,7.040576186482652016e-03,1.839959225317435235e-03,8.484403545933178609e-03,1.500000000000000000e+00,5.000000000000000000e-01
6.500812601575196936e+01,1.677692483751572596e-03,7.040576205174856918e-03,1.839959225305519853e-03,8.484403555048095763e-03,1.500000000000000000e+00,5.000000000000000000e-01
6.600825103137893279e+01,1.677692483741557820e-03,7.040576223561808601e-03,1.839959225297179736e-03,8.484403563665835965e-03,1.500000000000000000e+00,5.000000000000000000e-01
6.700837604700588201e+01,1.677692483734651019e-03,7.040576241568442112e-03,1.839959225291429778e-03,8.484403571800995178e-03,1.500000000000000000e+00,5.000000000000000000e-01
6.800850106263283124e+01,1.677692483729967049e-03,7.040576259126416284e-03,1.839959225287526650e-03,8.484403579468337633e-03,1.500000000000000000e+00,5.000000000000000000e-01
6.900862607825978046e+01,1.677692483726830235e-03,7.040576276174524001e-03,1.839959225284919795e-03,8.484403586682799300e-03,1.500000000000000000e+00,5.000000000000000000e-01
7.000875109388674389e+01,1.677692483724783912e-03,7.040576292658996642e-03,1.839959225283207189e-03,8.484403593459491355e-03,1.500000000000000000e+00,5.000000000000000000e-01
7.100887610951369311e+01,1.677692483723439501e-03,7.040576308533678419e-03,1.839959225282101953e-03,8.484403599813700181e-03,1.500000000000000000e+00,5.000000000000000000e-01
7.200900112514064233e+01,1.677692483722624832e-03,7.040576323760089697e-03,1.839959225281400908e-03,8.484403605760864817e-03,1.500000000000000000e+00,5.000000000000000000e-01
7.300912614076760576e+01,1.677692483722054324e-03,7.040576338307373214e-03,1.839959225280964408e-03,8.484403611316557875e-03,1.500000000000000000e+00,5.000000000000000000e-01
7.400925115639455498e+01,1.677692483721815800e-03,7.040576352152122346e-03,1.839959225280697911e-03,8.484403616496468195e-03,1.500000000000000000e+00,5.000000000000000000e-01
7.500937617202150420e+01,1.677692483721475360e-03,7.040576365278142582e-03,1.839959225280538317e-03,8.484403621316359209e-03,1.500000000000000000e+00,5.000000000000000000e-01
7.600950118764846763e+01,1.677692483721646664e-03,7.040576377676082027e-03,1.839959225280444642e-03,8.484403625792034248e-03,1.500000000000000000e+00,5.000000000000000000e-01
7.700962620327541686e+01,1.677692483721014791e-03,7.040576389343026348e-03,1.839959225280390648e-03,8.484403629939308786e-03,1.500000000000000000e+00,5.000000000000000000e-01
7.800975121890236608e+01,1.677692483722161227e-03,7.040576400282018248e-03,1.839959225280360725e-03,8.484403633773954928e-03,1.500000000000000000e+00,5.000000000000000000e-01
7.900987623452931530e+01,1.677692483719574754e-03,7.040576410501522310e-03,1.839959225280344461e-03,8.484403637311671922e-03,1.500000000000000000e+00,5.000000000000000000e-01
